stop_id,stop_name,stop_lat,stop_lon
CINEMA-DACIA-6896713530,Cinema Dacia,45.4128375,28.0168936
CLOSCA-14091746742,Cloșca,45.4213628,28.0275075
CLOSCA-14091746744,Cloșca,45.4208957,28.0277397
COMAT-14101571553,COMAT,45.4555038,28.0286272
COMAT-6924935089,COMAT,45.4553759,28.0289514
COMPLEX-FRANCEZI-6875033913,Complex Francezi,45.4226341,28.0337243
COMPLEX-FRANCEZI-6878866488,Complex Francezi,45.4225897,28.0341605
COMPLEX-IONESCU-8689062536,Complex Ionescu,45.4540387,28.0186156
COMPLEX-SPICUL-6892672437,Complex Spicul,45.4322606,28.0561323
COMPLEX-SPICUL-6893391137,Complex Spicul,45.4323052,28.0561611
COSTI-14103799429,Costi,45.4995121,28.0326770
COSTI-14104228554,Costi,45.4994465,28.0324408
CUIB-DE-BARZA-14103649659,Cuib de Barză,45.4982641,28.0161651
CUMPANA-14103873209,Cumpăna,45.5479194,27.9891039
CUMPANA-14104248912,Cumpăna,45.5478442,27.9889730
DAMEN-6896966047,Damen,45.4440364,28.0829432
DEDEMAN-14088247737,Dedeman,45.4261431,28.0088618
DELFINUL-14086946893,Delfinul,45.4049966,28.0220893
DEPOU-14099675542,Depou,45.4646640,28.0325441
DEPOU-14099815427,Depou,45.4651115,28.0326799
DEPOUL-NR-2-14101695643,Depoul Nr. 2,45.4657881,28.0323363
DEPOUL-NR-2-14101713885,Depoul Nr. 2,45.4656007,28.0311605
DIMITRIE-CANTEMIR-6896665346,Dimitrie Cantemir,45.3880242,28.0100516
DIN-VALE-14103873207,Din Vale,45.5504332,27.9868863
DIN-VALE-14104248914,Din Vale,45.5503481,27.9868429
DIRECTIA-AGRICOLA-530258190,Direcția Agricolă,45.4454016,28.0548729
DISPENSAR-14104248901,Dispensar,45.5373480,28.0037824
DMT-14104228556,DMT,45.5045402,28.0321516
DN26-FARMACIE-14103903317,DN26 Farmacie,45.5248524,28.0312964
EEKELS-6896966048,EEKELS,45.4454240,28.0805456
EEKELS-6897791673,EEKELS,45.4454429,28.0806729
F-E-E-A-534268996,F.E.E.A.,45.4432509,28.0517570
FACULTATEA-DE-MEDICINA-6893391123,Facultatea de Medicină,45.4106737,28.0149120
FARMACIA-HYGEIA-6893391135,Farmacia Hygeia,45.4191133,28.0168623
FARMACIE-14104199088,Farmacie,45.5289779,28.0309153
FITOSANITAR-6899023163,Fitosanitar,45.4812757,28.0336127
FITOSANITAR-6899152598,Fitosanitar,45.4804959,28.0333683
FLORA-14099815417,Flora,45.4295771,28.0191223
FLORA-6894604139,Flora,45.4292527,28.0190971
FLORA-6896006829,Flora,45.4291838,28.0188143
FORTURILOR-14103649657,Forturilor,45.4989571,28.0187662
GALERIILE-DE-ARTA-530256646,Galeriile de artă,45.4354384,28.0557046
GALMOPAN-14099675540,Galmopan,45.4609879,28.0340520
GALMOPAN-14099845120,Galmopan,45.4609125,28.0338988
GALMOPAN-6899023172,Galmopan,45.4598427,28.0341852
GALMOPAN-6899152589,Galmopan,45.4608699,28.0338226
GAMACRIS-6905457931,Gamacris,45.4222665,28.0288788
GAMACRIS-6905457934,Gamacris,45.4223635,28.0287486
GARA-BARBOSI-14090544321,Gara Barboși,45.4018176,27.9890355
GARA-BARBOSI-14090544331,Gara Barboși,45.4018959,27.9885697
GARA-C-F-R-6875107385,Gara C.F.R.,45.4444747,28.0598390
GARII-534270437,Gării,45.4438402,28.0537161
GRADINA-PUBLICA-14086091994,Grădina publică,45.4513651,28.0510709
GRADINA-PUBLICA-6898365514,Grădina publică,45.4516141,28.0514553
GRADINITA-PRICHINDEL-6892672442,Grădinița Prichindel,45.4139447,28.0070235
HAN-14103799423,Han,45.5182752,28.0316160
HAN-14104228562,Han,45.5183616,28.0314534
HOTEL-SOFIN-6899023184,Hotel Sofin,45.4294194,28.0371610
I-C-FRIMU-14101559986,I.C. Frimu,45.4406170,28.0298563
I-C-FRIMU-6924979093,I.C. Frimu,45.4406845,28.0297432
IATSA-6893391131,IATSA,45.4142302,28.0072252
INTFOR-6897791667,Intfor,45.4371997,28.0710875
IREG-14099815420,IREG,45.4363894,28.0239870
IREG-14099845127,IREG,45.4361405,28.0240800
IREG-6894604136,IREG,45.4357433,28.0246572
IREG-6896006835,IREG,45.4353062,28.0246132
IRICAD-14103799426,Iricad,45.5149071,28.0318103
IRICAD-14104228560,Iricad,45.5149780,28.0317121
IVECO-14103799427,Iveco,45.5038906,28.0324508
KAUFLAND-6874360932,Kaufland,45.4272284,28.0213826
KAUFLAND-6875283385,Kaufland,45.4273641,28.0213569
KAUFLAND-6960962993,Kaufland,45.4550978,28.0289548
LEBEDEI-14103726164,Lebedei,45.5000593,28.0282425
LEVADITTI-14088449870,Levaditti,45.4348774,28.0147279
LICEUL-C-F-R-6899152585,Liceul C.F.R.,45.4472971,28.0351504
LICEUL-DE-ARTA-534270716,Liceul de Artă,45.4450969,28.0548432
LICEUL-DE-MARINA-6896819822,Liceul de Marină,45.4341334,28.0663207
LICEUL-DE-MARINA-6897791665,Liceul de Marină,45.4342493,28.0660263
LICEUL-DUNAREA-6894593240,Liceul Dunărea,45.4208879,28.0169830
LICEUL-DUNAREA-6896006824,Liceul Dunărea,45.4205682,28.0161258
LICEUL-NR-3-14099815423,Liceul Nr. 3,45.4484071,28.0251908
LICEUL-NR-3-14099845124,Liceul Nr. 3,45.4483733,28.0250392
LICEUL-NR-3-6896006841,Liceul Nr. 3,45.4478510,28.0246069
LICEUL-SFANTA-MARIA-6960963008,Liceul „Sfânta Maria”,45.4336041,28.0303527
LICEUL-SFANTA-MARIA-6963443059,Liceul „Sfânta Maria”,45.4337362,28.0294771
LIDL-6894593246,Lidl,45.4161512,28.0075325
LIDL-6896163910,Lidl,45.4162695,28.0074872
LIDL-6960963003,Lidl,45.4397193,28.0281451
LIDL-6963443065,Lidl,45.4399160,28.0280850
MASNITA-14099815422,Mașniță,45.4421088,28.0215422
MASNITA-14099845125,Mașniță,45.4419420,28.0213305
